Cobertura,1993,2009,2019
Agricultura,"5,035.71","3,893.79","3,696.23"
Asentamientos humanos,"1,328.60","2,361.59","2,936.00"
Bosque de encino,"2,218.65","2,367.33","2,111.56"
Bosque de oyamel,"5,129.33","4,729.56","4,690.67"
Bosque de pino,"6,228.97","6,623.33","6,588.04"
Pastizal de alta montaña,702.83,668.48,621.58
